Generic,Flags,Form,Strength,StrengthValue,StrengthUnit,PPB,DIN,Brand,Manufacturer,Pack,PackPrice,UnitPrice,UnitPriceSource,Page,confidence,confidence_label
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,59585220,amiurH )euingsr(e VAbieb,"2 ,884241",,0.44217,0.44217,Printed,220,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,58300199,"amiurH tyslo)( VAbieb 3 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL sram .1202 (cid:0)i ruop evarg uo eØrØdom ed(cid:239)otamuhr etirhtraylop al ed tn emetiart el el, euq noitid noc al (cid:224) ruetpircserp essinruof","2 ,884241",,0.44217,0.44217,Printed,220,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,14534320,liaoPr nAmge IVx eeAnn .1 2,"1 ,00033",,,,,221,0.4,low
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,35186320,veagX nAmge nu Øcnemmoc riova tiod ennosrep aL tnemetiart el tnava tnemesr uobmer nu u(cid:231)er te 4202 erbmevon 7 . (cid:0)i ruop (cid:0)(cid:3)(cid:0)W(cid:0)Q(cid:0)D(cid:0)W(cid:0)V(cid:0)L(cid:0)V(cid:0)p(cid:0)U(cid:0)(cid:3)(cid:0)H(cid:0)W(cid:0)D(cid:0)W(cid:0)V(cid:0)R(cid:0)U(cid:0)S(cid:0)(cid:3)(cid:0)D(cid:0)O(cid:0)(cid:3)(cid:0)H(cid:0)G(cid:0)(cid:3)(cid:0)U(cid:0)H(cid:0)F(cid:0)Q(cid:0)D(cid:0)F(cid:0)(cid:3)(cid:0)Q(cid:0)X(cid:0)¶(cid:0)G(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)W(cid:0)Q(cid:0)L(cid:0)H(cid:0)W(cid:0)W(cid:0)D(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)Q(cid:0)Q(cid:0)R(cid:0)V(cid:0)U(cid:0)H(cid:0)S(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)O(cid:0)(cid:3)(cid:0)](cid:0)H(cid:0)K(cid:0)F(cid:0)(cid:3)(cid:0)[(cid:0)X(cid:0)H(cid:0)V(cid:0)V(cid:0)R(cid:0)(cid:3)(cid:0)V(cid:0)W(cid:0)Q(cid:0)H(cid:0)P(cid:0)H(cid:0)Q(cid:0)p(cid:0)Y(cid:0)p(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)G (cid:0)(cid:3)(cid:0)Q(cid:0)R(cid:0)L(cid:0)W(cid:0)Q(cid:0)H(cid:0)Y(cid:0)p(cid:0)U(cid:0)S(cid:0)(cid:3)(cid:0)D(cid:0)O,"1 ,58435",,,,,222,0.4,low
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,82747220,)euingl sre(erEbn nAmge,"4 7341 ,",31,1639.67,52.89253,Printed,222,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,37300199,"ckliCl eeSrruEbn nAmge 81 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL tßoa 7102 : (cid:0)i el ruop tnemetiart evarg uo eØrØdom ed(cid:239)otamuhr etirhtray lop al ed el, euq noitid noc al (cid:224) ruetpircserp essinruof","4 7341 ,",31,1639.67,52.89253,Printed,222,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,71086910,"negopueN nAmge . IjSl.no 003 /mLmcg ,16( mL)","01 ,918371",,9.83171,9.83171,Printed,224,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,45410099,negopueN nAmge nu Øcnemmoc riova tiod ennosrep aL 03 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart erbmetpes .0202 (cid:0)i ruop el tnemetia rtse dsen ntosnarevepcer sed selcyc e itpendaemreØhnntoeyimo imuhco tnemetuah,"01 ,210772",,2.07172,2.07172,Printed,224,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,91654220,exnaopoC voInnTev a tiod ennosrep aL 5 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova telliuj .8102,"03 1 ,06092",,0.0324,0.0324,Printed,224,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,VI... fPrP.ed,001 mg,001,mg,FALSE,61044220,"mieecdRa c sI.snJna L91 el tnava tnemesruobmer nu u (cid:231)aer te tnemetiart nu Øcnemmoc riova tiod ennosrep tßoa .0202 (cid:0)i ruop tenlemeti asredt sennosrep tnietta e s ed al eidalam ed enlha oneiØrtrCsØedtonmi uo ,evarg (cid:224) al","1 049 ,00",,,,,225,0.4,low
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,VI... fPrP.ed,001 mg,001,mg,FALSE,03915220,"tsnuaL vnfeoiASna 9220 4 833 traSloStsonu aL vnfeoiASna 5 88 , 21 81 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL tßoa .7102",,5,88.0,21.0,Printed,226,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,VI... fPrP.ed,001 mg,001,mg,FALSE,01869220,"stcniueL tvrisoaN )sre. (IjSl.no 01 mLmg/ 5,601( ml)",,1,0.050751,0.050751,Printed,227,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,VI... fPrP.ed,001 mg,001,mg,FALSE,92652420,stcniueL tvrisoaN 31 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL erbmecØd .3202 (cid:0)i p (cid:0)(cid:3)(cid:0)U(cid:0)X(cid:0)R (cid:0)(cid:3)(cid:0)H(cid:0)O(cid:0)(cid:3)(cid:0)W(cid:0)Q(cid:0)H(cid:0)P(cid:0)H(cid:0)W(cid:0)L(cid:0)D(cid:0)U(cid:0)W(cid:0)(cid:3)(cid:0)H(cid:0)G (cid:0)(cid:3)(cid:0)D(cid:0)O(cid:0)(cid:3)(cid:0)H(cid:0)F(cid:0)Q(cid:0)H(cid:0)F(cid:0)V(cid:0)H(cid:0)U(cid:0)p(cid:0)Q(cid:0)(cid:3)(cid:0)p(cid:0)H(cid:0)U(cid:0)J(cid:0)L(cid:0)p(cid:0)D(cid:0)G(cid:0)O(cid:0)X(cid:0)F(cid:0)D(cid:0)P (cid:0)(cid:3)(cid:0)H(cid:0)p(cid:0)L(cid:0)O (cid:0)(cid:3)(cid:0)j (cid:0)(cid:3)(cid:0)H(cid:0)J(cid:0)k(cid:0)¶(cid:0)O (cid:0)(cid:3)(cid:0)Q(cid:0)H (cid:0)(cid:3)(cid:0)H(cid:0)F(cid:0)Q(cid:0)H(cid:0)V(cid:0)p(cid:0)U(cid:0)S (cid:0)(cid:3)(cid:0)(cid:3)(cid:0)H(cid:0)G(cid:0)Q(cid:0)R(cid:0)L(cid:0)W(cid:0)D(cid:0)V(cid:0)L(cid:0)U(cid:0)D(cid:0)O(cid:0)X(cid:0)F(cid:0)V(cid:0)D(cid:0)Y(cid:0)R(cid:0)p(cid:0)Q,,1,0.050751,0.050751,Printed,227,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,",24( mL uo",3 mL,3,mL,FALSE,98645220,toØFor illyL nu Øcnemmoc riova tiod ennosrep aL 51 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart erbmecØd .1202 (cid:0)i (cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)p (cid:0)V(cid:0)X(cid:0)D(cid:0)S(cid:0)R(cid:0)Q(cid:0)p(cid:0)P(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)P(cid:0)P(cid:0)H(cid:0)(cid:3)(cid:0)I(cid:0)V(cid:0)H(cid:0)(cid:3)(cid:0)O(cid:0)](cid:0)H(cid:0)K(cid:0)F(cid:0)(cid:3)(cid:0)H(cid:0)V(cid:0)R(cid:0)U(cid:0)R(cid:0)S(cid:0)R(cid:0)p(cid:0)W(cid:0)V(cid:0)R(cid:0)¶(cid:0)O(cid:0)(cid:3)(cid:0)H(cid:0)G(cid:0)(cid:3)(cid:0)W(cid:0)Q(cid:0)H(cid:0)P(cid:0)H(cid:0)W(cid:0)L(cid:0)D(cid:0)U(cid:0)W(cid:0)(cid:3)(cid:0)H(cid:0)O(cid:0)(cid:3)(cid:0)U(cid:0)X(cid:0)R(cid:0)S e dØvel Øeuqsir nu (cid:224)seØsopx etnos iuq,,1,0.39708,0.39708,Printed,228,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,) sr(Se... C IjSl.no mL,2 mg,2,mg,FALSE,07742420,tmraAec ceohR,,4,0.000241,0.05053,Printed,229,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,s(S... C IjSl.no ylot ) mL,2 mg,2,mg,FALSE,72338420,tmraAec ceohR Sl.o VI... fPre 02 mLmg/ mL) 4(,,4,0.000241,0.05053,Printed,229,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,s(S... C IjSl.no ylot ) mL,2 mg,2,mg,FALSE,29005320,tmraAec ceohR Sl.o VI... fPre 02 mLmg/ mL) 01(,,1,0.09271,0.09271,Printed,229,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,s(S... C IjSl.no ylot ) mL,2 mg,2,mg,FALSE,60105320,tmraAec ceohR Sl.o VI... fPre 02 mLmg/ mL)02(,,1,4.0,0.0804,Printed,229,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,s(S... C IjSl.no ylot ) mL,2 mg,2,mg,FALSE,41105320,"tmraAec ceohR .loS ,)ARMETCA( BAMUZILICOT .V.I .freP : el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL 22 iam .5202",,1,0.06098,0.06098,Printed,229,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,") sr(Se... C IjSl.no ,",5 mL,5,mL,FALSE,37602320,aStlare c sI.snJna,,1,0.217134,0.217134,Printed,232,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,) sr(Se... C IjSl.no mL,0 mg,0,mg,FALSE,18602320,aStlare c sI.snJna 32 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL iam .4202,,1,0.217134,0.217134,Printed,232,0.85,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,".) sr(Se... C IjSl.no 03 ,",3 mg,3,mg,FALSE,27421020,xovnoeL,vnfeoiASna,01,0.0296,0.962,Printed,234,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,".) sr(Se... C IjSl.no 04 ,",4 mg,4,mg,FALSE,38863220,xovnoeL,vnfeoiASna,01,0.0338,0.383,Printed,234,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"(S... C IjSl.no .)sre 06 ,",6 mg,6,mg,FALSE,62487320,xovnoeL,vnfeoiASna,01,0.74921,7.9241,Printed,234,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,".) sr(Se... C IjSl.no 08 ,",8 mg,8,mg,FALSE,43487320,xovnoeL,vnfeoiASna,01,0.06661,0.6661,Printed,234,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,.) sr(Se... C IjSl.no,001 mg,001,mg,FALSE,24487320,xovnoeL,vnfeoiASna,01,0.88202,8.2082,Printed,234,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,.) sr(Se... C IjSl.no,021 mg,021,mg,FALSE,29624220,Pxov noHeL,vnfeoiASna,01,0.09942,0.9492,Printed,234,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,.) sr(Se... C IjSl.no,051 mg,051,mg,FALSE,96487320,Pxov noHeL riova tiod ennosrep aL ezuod sel snad tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc )21( tnedØcØrp siom 51 el erbmecØd .1202,vnfeoiASna,01,0.02413,0.4123,Printed,234,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,S... C IjSl.no,3 mL,3,mL,FALSE,90277320,chx Touid FlepavRooN,isdkro.NN,5,0.9075,0.9075,Printed,235,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,S... C IjSl.no,3 mL,3,mL,FALSE,35344220,illfid PnpeavRooN ezuod sel snad tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL )21( tnedØcØrp siom 2 el reirvØf .2202,isdkro.NN,5,0.9075,0.9075,Printed,235,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,40792220 maloguH illyL,01 ml,01,ml,FALSE,50792220,maloguH,illyL,5,0.4145,0.4145,Printed,235,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,40792220 maloguH illyL,01 ml,01,ml,FALSE,21430420,kPn eiKmalogwuH ezuod sel snad tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL )21( tnedØcØrp siom 3 el sram .1202,illyL,5,0.4145,0.4145,Printed,235,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",11 mg,11,mg,FALSE,07984910,.Sp)sp st Plieeo(pŒGu,ygArlle,1,0.00042,0.00042,Printed,235,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,37884910,scmbinØso VsidØep xs sinseltandemesruo b m u t(cid:231)neutneeerrmet iØancrnutem mro ico tvieanodnos raeLp )6( tenledØc Øsirpom 51 reirvØf .7102,ygArlle,1,0.04034,0.04034,Printed,235,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,72210199,ioraD,tn.o CAt.uo,001,0.0606,0.0606,Printed,236,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,96410199,sts eTeco d0GluB6loo3D sStipr,itIneg,05,0.3423,0.3423,Printed,236,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,56110199,rcDGluo,bihuMed,05,0.5643,0.5643,Printed,236,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,23300199,tiTes,tn.o CAt.uo,05,0.0253,0.0253,Printed,236,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,79400199,voaN Max,vBoaiomedN,05,0.5493,0.5493,Printed,236,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,97400199,nO sll aPClu,Acno,52,0.0751,0.0751,Printed,236,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,41310199,vidVill a COn,s.b iaPrLa,05,0.0702,0.0702,Printed,236,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"Ij.P.nd ,",33 mg,33,mg,FALSE,41700199,stEtUeTR ezuod sel snad tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL )21( tnedØcØrp siom 3 el reirvØf .1202,iag oDiprN,05,0.0702,0.0702,Printed,236,0.95,high
